PID,Email,Class of
A88700445,michelle@ucsd.edu,2018
A76650801,bo@ucsd.edu,2019
A67882991,parker@ucsd.edu,2019
A60447719,casey@ucsd.edu,2021
A55400912,vincent@ucsd.edu,2020
A50047351,yang@ucsd.edu,2018
A39888012,daniel@ucsd.edu,2021
A33328615,cole@ucsd.edu,2019
A28776540,songlin@ucsd.edu,2020
A28560091,jared@ucsd.edu,2021
A28022874,yuxin@ucsd.edu,2018
A25978341,kevin@ucsd.edu,2019
A23985679,rebecca@ucsd.edu,2018
A23434349,sharmi@ucsd.edu,2021
A22390044,erik@ucsd.edu,2020
A19913445,jiayi@ucsd.edu,2018
A11197539,noah@ucsd.edu,2020
A02839456,yingwen@ucsd.edu,2018
